Host,Protocol,Local Address,Port,State
localhost,tcp,0.0.0.0,111,LISTEN
localhost,tcp,0.0.0.0,22,LISTEN
localhost,tcp,0.0.0.0,27059,LISTEN
localhost,tcp,0.0.0.0,40531,LISTEN
localhost,tcp,0.0.0.0,41481,LISTEN
localhost,tcp,0.0.0.0,41691,LISTEN
localhost,tcp,0.0.0.0,41737,LISTEN
localhost,tcp,0.0.0.0,41997,LISTEN
localhost,tcp,0.0.0.0,42127,LISTEN
localhost,tcp,0.0.0.0,42155,LISTEN
localhost,tcp,0.0.0.0,43063,LISTEN
localhost,tcp,0.0.0.0,44115,LISTEN
localhost,tcp,0.0.0.0,44633,LISTEN
localhost,tcp,0.0.0.0,44693,LISTEN
localhost,tcp,0.0.0.0,44815,LISTEN
localhost,tcp,0.0.0.0,46197,LISTEN
localhost,tcp,0.0.0.0,46651,LISTEN
localhost,tcp,0.0.0.0,46943,LISTEN
localhost,tcp,0.0.0.0,47933,LISTEN
localhost,tcp,0.0.0.0,47945,LISTEN
localhost,tcp,0.0.0.0,47955,LISTEN
localhost,tcp,0.0.0.0,48119,LISTEN
localhost,tcp,0.0.0.0,48527,LISTEN
localhost,tcp,0.0.0.0,48713,LISTEN
localhost,tcp,0.0.0.0,49461,LISTEN
localhost,tcp,0.0.0.0,50033,LISTEN
localhost,tcp,0.0.0.0,50235,LISTEN
localhost,tcp,0.0.0.0,50493,LISTEN
localhost,tcp,0.0.0.0,50579,LISTEN
localhost,tcp,0.0.0.0,50587,LISTEN
localhost,tcp,0.0.0.0,50801,LISTEN
localhost,tcp,0.0.0.0,51347,LISTEN
localhost,tcp,0.0.0.0,51719,LISTEN
localhost,tcp,0.0.0.0,52107,LISTEN
localhost,tcp,0.0.0.0,6111,LISTEN
localhost,tcp,0.0.0.0,6112,LISTEN
localhost,tcp,0.0.0.0,6113,LISTEN
localhost,tcp,0.0.0.0,6211,LISTEN
localhost,tcp,0.0.0.0,6212,LISTEN
localhost,tcp,0.0.0.0,6213,LISTEN
localhost,tcp,0.0.0.0,6601,LISTEN
localhost,tcp,0.0.0.0,6915,LISTEN
localhost,tcp,0.0.0.0,6916,LISTEN
localhost,tcp,0.0.0.0,815,LISTEN
localhost,tcp,0.0.0.0,8888,LISTEN
localhost,tcp,0.0.0.0,9090,LISTEN
localhost,tcp,10.216.84.137,20022,LISTEN
localhost,tcp,10.216.84.137,22,LISTEN
localhost,tcp,10.216.84.140,16563,LISTEN
localhost,tcp,10.216.84.140,4443,LISTEN
localhost,tcp,10.216.84.140,4444,LISTEN
localhost,tcp,10.216.84.146,17107,LISTEN
localhost,tcp,10.216.84.146,17112,LISTEN
localhost,tcp,10.216.84.146,17131,LISTEN
localhost,tcp,10.216.84.146,8080,LISTEN
localhost,tcp,10.216.84.146,8081,LISTEN
localhost,tcp,10.216.84.146,8443,LISTEN
localhost,tcp,10.217.86.20,10250,LISTEN
localhost,tcp,10.217.86.20,10256,LISTEN
localhost,tcp,10.217.86.20,14311,LISTEN
localhost,tcp,10.217.86.20,14314,LISTEN
localhost,tcp,10.217.86.20,14316,LISTEN
localhost,tcp,10.217.86.20,14317,LISTEN
localhost,tcp,10.217.86.20,20022,LISTEN
localhost,tcp,10.217.86.20,22852,LISTEN
localhost,tcp,10.217.86.20,65002,LISTEN
localhost,tcp,10.217.86.20,65202,LISTEN
localhost,tcp,10.217.86.21,10250,LISTEN
localhost,tcp,10.217.86.21,10256,LISTEN
localhost,tcp,10.217.86.21,14311,LISTEN
localhost,tcp,10.217.86.21,14314,LISTEN
localhost,tcp,10.217.86.21,14316,LISTEN
localhost,tcp,10.217.86.21,14317,LISTEN
localhost,tcp,10.217.86.21,22852,LISTEN
localhost,tcp,10.217.86.21,65002,LISTEN
localhost,tcp,10.217.86.21,65202,LISTEN
localhost,tcp,10.217.86.22,10250,LISTEN
localhost,tcp,10.217.86.22,10256,LISTEN
localhost,tcp,10.217.86.22,14311,LISTEN
localhost,tcp,10.217.86.22,14314,LISTEN
localhost,tcp,10.217.86.22,14316,LISTEN
localhost,tcp,10.217.86.22,14317,LISTEN
localhost,tcp,10.217.86.22,20022,LISTEN
localhost,tcp,10.217.86.22,22852,LISTEN
localhost,tcp,10.217.86.22,65002,LISTEN
localhost,tcp,10.217.86.22,65202,LISTEN
localhost,tcp,10.217.86.23,10250,LISTEN
localhost,tcp,10.217.86.23,10256,LISTEN
localhost,tcp,10.217.86.23,14311,LISTEN
localhost,tcp,10.217.86.23,14314,LISTEN
localhost,tcp,10.217.86.23,14316,LISTEN
